gene_name	gene_group
IL17C	MarkersT_NK
IL17F	MarkersT_NK
IL18	MarkersT_NK
IL2	MarkersT_NK
IL20	MarkersT_NK
IL21	MarkersT_NK
IL22	MarkersT_NK
IL23R	MarkersT_NK
IL26	MarkersT_NK
IL27	MarkersT_NK
IL2RA	MarkersT_NK
IL2RB	MarkersT_NK
IL32	MarkersT_NK
IL4	MarkersT_NK
IL4I1	MarkersT_NK
IL6	MarkersT_NK
IL7	MarkersT_NK
IL7R	MarkersT_NK
IL9	MarkersT_NK
IRF8	MarkersT_NK
ITGA4	MarkersT_NK
ITGAE	MarkersT_NK
ITGB7	MarkersT_NK
ITM2A	MarkersT_NK
KLRB1	MarkersT_NK
KLRC1	MarkersT_NK
KLRD1	MarkersT_NK
KLRF1	MarkersT_NK
LAG3	MarkersT_NK
LAYN	MarkersT_NK
LEF	MarkersT_NK
LTB	MarkersT_NK
MAP3K8	MarkersT_NK
MKI67	MarkersT_NK
MT-CO2	MarkersT_NK
MX1	MarkersT_NK
N3CR1	MarkersT_NK
NCAM1	MarkersT_NK
NKG7	MarkersT_NK
PDCD1	MarkersT_NK
PECAM1	MarkersT_NK
PLEK	MarkersT_NK
POU2AF1	MarkersT_NK
PRF1	MarkersT_NK
RETN	MarkersT_NK
RORA	MarkersT_NK
RORC	MarkersT_NK
SELL	MarkersT_NK
STMN1	MarkersT_NK
TBX21	MarkersT_NK
TCF7	MarkersT_NK
TGFB1	MarkersT_NK
TIGIT	MarkersT_NK
TNF	MarkersT_NK
TNFRSF14	MarkersT_NK
TNFRSF18	MarkersT_NK
TNFRSF1A	MarkersT_NK
TNFRSF1B	MarkersT_NK
TNFRSF4	MarkersT_NK
TNFRSF9	MarkersT_NK
TNFSF13B	MarkersT_NK
TNFSF14	MarkersT_NK
TOX	MarkersT_NK
TRA	MarkersT_NK
TRAC	MarkersT_NK
TRB	MarkersT_NK
TRBC1	MarkersT_NK
TRBC2	MarkersT_NK
TRD	MarkersT_NK
TRDC	MarkersT_NK
TRDV1	MarkersT_NK
TRDV2	MarkersT_NK
TRG	MarkersT_NK
TRGC1	MarkersT_NK
TRGC2	MarkersT_NK
TUBB	MarkersT_NK
XCL1	MarkersT_NK
XCL2	MarkersT_NK
XCR1	MarkersT_NK
XCR2	MarkersT_NK
ZEB2	MarkersT_NK
ZNF683	MarkersT_NK
HBA1	hb
HBA2	hb
HBB	hb
HBD	hb
HBE1	hb
HBG1	hb
HBG2	hb
HBM	hb
HBQ1	hb
HBZ	hb
IGKV1OR1-1	exclude
IGKV3OR2-268	exclude
IGKJ5	exclude
IGKJ4	exclude
IGKJ3	exclude
IGKJ2	exclude
IGKJ1	exclude
IGKV4-1	exclude
IGKV5-2	exclude
IGKV7-3	exclude
IGKV2-4	exclude
IGKV1-5	exclude
IGKV1-6	exclude
IGKV3-7	exclude
IGKV1-8	exclude
IGKV1-9	exclude
IGKV2-10	exclude
IGKV3-11	exclude
IGKV1-12	exclude
IGKV1-13	exclude
IGKV2-14	exclude
IGKV3-15	exclude
IGKV1-16	exclude
IGKV1-17	exclude
IGKV2-18	exclude
IGKV2-19	exclude
IGKV3-20	exclude
IGKV6-21	exclude
IGKV1-22	exclude
IGKV2-23	exclude
IGKV2-24	exclude
IGKV3-25	exclude
IGKV2-26	exclude
IGKV1-27	exclude
IGKV2-28	exclude
IGKV2-29	exclude
IGKV2-30	exclude
IGKV3-31	exclude
IGKV1-32	exclude
IGKV1-33	exclude
IGKV3-34	exclude
IGKV1-35	exclude
IGKV2-36	exclude
IGKV1-37	exclude
IGKV2-38	exclude
IGKV1-39	exclude
IGKV2-40	exclude
IGKV2D-40	exclude
IGKV1D-39	exclude
IGKV2D-38	exclude
IGKV1D-37	exclude
IGKV2D-36	exclude
IGKV1D-35	exclude
IGKV3D-34	exclude
IGKV1D-33	exclude
IGKV1D-32	exclude
IGKV3D-31	exclude
IGKV2D-30	exclude
IGKV2D-29	exclude
IGKV2D-28	exclude
IGKV1D-27	exclude
IGKV2D-26	exclude
IGKV3D-25	exclude
IGKV2D-24	exclude
IGKV2D-23	exclude
IGKV1D-22	exclude
IGKV6D-21	exclude
IGKV3D-20	exclude
IGKV2D-19	exclude
IGKV2D-18	exclude
IGKV6D-41	exclude
IGKV1D-17	exclude
IGKV1D-16	exclude
IGKV3D-15	exclude
IGKV2D-14	exclude
IGKV1D-13	exclude
IGKV1D-12	exclude
IGKV3D-11	exclude
IGKV2D-10	exclude
IGKV1D-42	exclude
IGKV1D-43	exclude
IGKV1D-8	exclude
IGKV3D-7	exclude
IGKV1OR2-118	exclude
IGKV1OR2-1	exclude
IGKV2OR2-1	exclude
IGKV2OR2-2	exclude
IGKV1OR2-3	exclude
IGKV1OR2-9	exclude
IGKV2OR2-10	exclude
IGKV2OR2-7D	exclude
IGKV3OR2-5	exclude
IGKV1OR2-6	exclude
IGKV2OR2-7	exclude
IGKV2OR2-8	exclude
IGKV1OR2-11	exclude
IGKV1OR2-108	exclude
HLA-F	exclude
HLA-G	exclude
HLA-A	exclude
HLA-E	exclude
HLA-B	exclude
HLA-DRA	exclude
HLA-DRB5	exclude
HLA-DRB1	exclude
HLA-DQA1	exclude
HLA-DQB1	exclude
HLA-DQA2	exclude
HLA-DQB2	exclude
HLA-DOB	exclude
HLA-DMB	exclude
HLA-DMA	exclude
HLA-DOA	exclude
HLA-DPA1	exclude
HLA-DPB1	exclude
TRGJ2	exclude
TRGJP2	exclude
TRGJ1	exclude
TRGJP	exclude
TRGJP1	exclude
TRGV11	exclude
TRGVB	exclude
TRGV10	exclude
TRGV9	exclude
TRGVA	exclude
TRGV8	exclude
TRGV7	exclude
TRGV6	exclude
TRGV5P	exclude
TRGV5	exclude
TRGV4	exclude
TRGV3	exclude
TRGV2	exclude
TRGV1	exclude
TRBV1	exclude
TRBV2	exclude
TRBV3-1	exclude
TRBV4-1	exclude
TRBV5-1	exclude
TRBV6-1	exclude
TRBV7-1	exclude
TRBV4-2	exclude
TRBV6-2	exclude
TRBV7-2	exclude
TRBV8-1	exclude
TRBV5-2	exclude
TRBV6-4	exclude
TRBV7-3	exclude
TRBV8-2	exclude
TRBV5-3	exclude
TRBV9	exclude
TRBV10-1	exclude
TRBV11-1	exclude
TRBV12-1	exclude
TRBV10-2	exclude
TRBV12-2	exclude
TRBV6-5	exclude
TRBV7-4	exclude
TRBV5-4	exclude
TRBV6-6	exclude
TRBV7-5	exclude
TRBV5-5	exclude
TRBV6-7	exclude
TRBV7-6	exclude
TRBV5-6	exclude
TRBV6-8	exclude
TRBV7-7	exclude
TRBV5-7	exclude
TRBV7-9	exclude
TRBV13	exclude
TRBV10-3	exclude
TRBV11-3	exclude
TRBV12-3	exclude
TRBV12-4	exclude
TRBV12-5	exclude
TRBV14	exclude
TRBV15	exclude
TRBV16	exclude
TRBV17	exclude
TRBV18	exclude
TRBV19	exclude
TRBV20-1	exclude
TRBV21-1	exclude
TRBV22-1	exclude
TRBV23-1	exclude
TRBV24-1	exclude
TRBV25-1	exclude
TRBVA	exclude
TRBV26	exclude
TRBVB	exclude
TRBV27	exclude
TRBV28	exclude
TRBV29-1	exclude
TRBD1	exclude
TRBJ1-1	exclude
TRBJ1-2	exclude
TRBJ1-3	exclude
TRBJ1-4	exclude
TRBJ1-5	exclude
TRBJ1-6	exclude
TRBJ2-1	exclude
TRBJ2-2	exclude
TRBJ2-2P	exclude
TRBJ2-3	exclude
TRBJ2-4	exclude
TRBJ2-5	exclude
TRBJ2-6	exclude
TRBJ2-7	exclude
TRBV30	exclude
IGLV8OR8-1	exclude
TRBV20OR9-2	exclude
TRBV21OR9-2	exclude
TRBV22OR9-2	exclude
TRBV23OR9-2	exclude
TRBV24OR9-2	exclude
TRBV25OR9-2	exclude
TRBV26OR9-2	exclude
TRBV29OR9-2	exclude
IGKV1OR9-2	exclude
IGKV1OR-2	exclude
IGKV1OR9-1	exclude
IGKV1OR-3	exclude
IGKV1OR10-1	exclude
TRAV1-1	exclude
TRAV1-2	exclude
TRAV2	exclude
TRAV3	exclude
TRAV4	exclude
TRAV5	exclude
TRAV6	exclude
TRAV7	exclude
TRAV8-1	exclude
TRAV9-1	exclude
TRAV10	exclude
TRAV11	exclude
TRAV12-1	exclude
TRAV8-2	exclude
TRAV8-3	exclude
TRAV13-1	exclude
TRAV12-2	exclude
TRAV8-4	exclude
TRAV8-5	exclude
TRAV13-2	exclude
TRAV14DV4	exclude
TRAV9-2	exclude
TRAV15	exclude
TRAV12-3	exclude
TRAV8-6	exclude
TRAV16	exclude
TRAV17	exclude
TRAV18	exclude
TRAV19	exclude
TRAV20	exclude
TRAV21	exclude
TRAV22	exclude
TRAV23DV6	exclude
TRAV24	exclude
TRAV25	exclude
TRAV26-1	exclude
TRAV8-7	exclude
TRAV27	exclude
TRAV28	exclude
TRAV29DV5	exclude
TRAV30	exclude
TRAV31	exclude
TRAV32	exclude
TRAV33	exclude
TRAV26-2	exclude
TRAV34	exclude
TRAV35	exclude
TRAV36DV7	exclude
TRAV37	exclude
TRAV38-1	exclude
TRAV38-2DV8	exclude
TRAV39	exclude
TRAV40	exclude
TRAV41	exclude
TRDD1	exclude
TRDD2	exclude
TRDD3	exclude
TRDJ1	exclude
TRDJ4	exclude
TRDJ2	exclude
TRDJ3	exclude
TRAJ61	exclude
TRAJ60	exclude
TRAJ59	exclude
